Diretiva	 - Valor: #include <stdio.h>
Comentario	 - Valor:  Função para pesquisar um valor em um vetor
Keyword		 - Valor: int
Identificador	 - Valor: search
Pontuacao	 - Valor: (
Keyword		 - Valor: int
Identificador	 - Valor: arr
Pontuacao	 - Valor: [
Pontuacao	 - Valor: ]
Pontuacao	 - Valor: ,
Keyword		 - Valor: int
Identificador	 - Valor: n
Pontuacao	 - Valor: ,
Keyword		 - Valor: int
Identificador	 - Valor: value
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: for
Pontuacao	 - Valor: (
Keyword		 - Valor: int
Identificador	 - Valor: i
Operador	 - Valor: =
Numero		 - Valor: 0
Pontuacao	 - Valor: ;
Identificador	 - Valor: i
Operador	 - Valor: <
Identificador	 - Valor: n
Pontuacao	 - Valor: ;
Identificador	 - Valor: i
Operador	 - Valor: +
Operador	 - Valor: +
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: if
Pontuacao	 - Valor: (
Identificador	 - Valor: arr
Pontuacao	 - Valor: [
Identificador	 - Valor: i
Pontuacao	 - Valor: ]
Operador	 - Valor: ==
Identificador	 - Valor: value
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: return
Identificador	 - Valor: i
Pontuacao	 - Valor: ;
Comentario	 - Valor:  Retorna o índice onde o valor foi encontrado
Pontuacao	 - Valor: }
Pontuacao	 - Valor: }
Keyword		 - Valor: return
Operador	 - Valor: -
Numero		 - Valor: 1
Pontuacao	 - Valor: ;
Comentario	 - Valor:  Retorna -1 se o valor não for encontrado
Pontuacao	 - Valor: }
Keyword		 - Valor: int
Keyword		 - Valor: main
Pontuacao	 - Valor: (
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: int
Identificador	 - Valor: arr
Pontuacao	 - Valor: [
Pontuacao	 - Valor: ]
Operador	 - Valor: =
Pontuacao	 - Valor: {
Numero		 - Valor: 5
Pontuacao	 - Valor: ,
Numero		 - Valor: 10
Pontuacao	 - Valor: ,
Numero		 - Valor: 15
Pontuacao	 - Valor: ,
Numero		 - Valor: 20
Pontuacao	 - Valor: ,
Numero		 - Valor: 25
Pontuacao	 - Valor: ,
Numero		 - Valor: 30
Pontuacao	 - Valor: ,
Numero		 - Valor: 35
Pontuacao	 - Valor: ,
Numero		 - Valor: 40
Pontuacao	 - Valor: ,
Numero		 - Valor: 45
Pontuacao	 - Valor: ,
Numero		 - Valor: 50
Pontuacao	 - Valor: }
Pontuacao	 - Valor: ;
Keyword		 - Valor: int
Identificador	 - Valor: n
Operador	 - Valor: =
Keyword		 - Valor: sizeof
Pontuacao	 - Valor: (
Identificador	 - Valor: arr
Pontuacao	 - Valor: )
Operador	 - Valor: /
Keyword		 - Valor: sizeof
Pontuacao	 - Valor: (
Identificador	 - Valor: arr
Pontuacao	 - Valor: [
Numero		 - Valor: 0
Pontuacao	 - Valor: ]
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Keyword		 - Valor: int
Identificador	 - Valor: value
Operador	 - Valor: =
Numero		 - Valor: 30
Pontuacao	 - Valor: ;
Keyword		 - Valor: printf
Pontuacao	 - Valor: (
Literal	 - Valor: "Vetor: "
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Keyword		 - Valor: for
Pontuacao	 - Valor: (
Keyword		 - Valor: int
Identificador	 - Valor: i
Operador	 - Valor: =
Numero		 - Valor: 0
Pontuacao	 - Valor: ;
Identificador	 - Valor: i
Operador	 - Valor: <
Identificador	 - Valor: n
Pontuacao	 - Valor: ;
Identificador	 - Valor: i
Operador	 - Valor: +
Operador	 - Valor: +
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: printf
Pontuacao	 - Valor: (
Literal	 - Valor: "%d "
Pontuacao	 - Valor: ,
Identificador	 - Valor: arr
Pontuacao	 - Valor: [
Identificador	 - Valor: i
Pontuacao	 - Valor: ]
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Pontuacao	 - Valor: }
Keyword		 - Valor: printf
Pontuacao	 - Valor: (
Literal	 - Valor: "\n"
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Keyword		 - Valor: int
Identificador	 - Valor: index
Operador	 - Valor: =
Identificador	 - Valor: search
Pontuacao	 - Valor: (
Identificador	 - Valor: arr
Pontuacao	 - Valor: ,
Identificador	 - Valor: n
Pontuacao	 - Valor: ,
Identificador	 - Valor: value
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Keyword		 - Valor: if
Pontuacao	 - Valor: (
Identificador	 - Valor: index
Operador	 - Valor: !=
Operador	 - Valor: -
Numero		 - Valor: 1
Pontuacao	 - Valor: )
Pontuacao	 - Valor: {
Keyword		 - Valor: printf
Pontuacao	 - Valor: (
Literal	 - Valor: "O valor %d foi encontrado no índice %d.\n"
Pontuacao	 - Valor: ,
Identificador	 - Valor: value
Pontuacao	 - Valor: ,
Identificador	 - Valor: index
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Pontuacao	 - Valor: }
Keyword		 - Valor: else
Pontuacao	 - Valor: {
Keyword		 - Valor: printf
Pontuacao	 - Valor: (
Literal	 - Valor: "O valor %d não foi encontrado no vetor.\n"
Pontuacao	 - Valor: ,
Identificador	 - Valor: value
Pontuacao	 - Valor: )
Pontuacao	 - Valor: ;
Pontuacao	 - Valor: }
Keyword		 - Valor: return
Numero		 - Valor: 0
Pontuacao	 - Valor: ;
Pontuacao	 - Valor: }
